Accession #,Active yes/no,Additional disclaimer,Appearance,Application  Usage,Applications,Background,Binding Capacity,Biological activity,Buffer,Cas number,Clone,Concentration,Conjugate,Cross-reactivity,Date last updated,Disclaimer,EG number,Endotoxin Level,Extra information,Formulation,GeneIDURL,Handling,Hazardous Goods,Host,Immunogen,InChi,Isotype,Kit components,MDL Number,MSDS Available?,Molecular Form,Molecular Weight,NCBI GENE ID #,NCBI OFFICIAL FULL NAME,NCBI OFFICIAL SYMBOL,NCBI ORGANISM,PDF Datasheet,Packaging,Peptide sequence,Physical State,Physical form description,Price ITK/ImTec,Price LabNed,Product Description ITK,Product Type,Product category ITK,Product category LabNed,Product category by research field,Protein GI #,ProteinID,ProteinIDURL,PubChem CID,Purification,Purity,REACH number,Reactivity,Recommended Dilution,Reconstitution Instructions,Regulatory Statement,Related Products,Release Date,Research Area,SWISSPROT #,Salt Form,Sample Type,Shelf life,Shipping Conditions,Shipping costs,Size,Solubility/Reconstitution Instructions,Source,Stamnummer,Storage Conditions,Structure Available,Supplier,Supplier artikel nummer,Tags,Target,UNSPSC number,URL Datasheet,USDA Disclaimer,Unit Definition,User note,Web Category,code,description,image1_text,image2_text,name,not supplied reagents  equipment,picture,price,productid,references,review,vat
,Y,,,,FC,,,,,,HI264,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235009 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350090,,CD235 ,12352203,,,,,,9212350090,,,,CD235 Human iFluor 555 Antibody,,,,9212350090,,,LN9211254
,Y,,,,FC,,,,,,HI264,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235009 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350091,,CD235 ,12352203,,,,,,9212350091,,,,CD235 Human iFluor 555 Antibody,,,,9212350091,,,LN9211255
,Y,,,,FC,,,,,,HI264,,iFluor 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,159,CD235 Human iFluor 633 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92123500E ,2-8°C with minimized light exposure.,,AAT Bioquest,123500,,CD235 ,12352203,https://www.aatbio.com/products/ifluor-633-anti-human-cd235-antibody-hi264,,,,,92123500,,,,CD235 Human iFluor 633 Antibody,,,,92123500,,,LN9211264
,Y,,,,FC,,,,,,HI264,,iFluor 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,CD235 Human iFluor 633 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92123500E ,2-8°C with minimized light exposure.,,AAT Bioquest,1235000,,CD235 ,12352203,https://www.aatbio.com/products/ifluor-633-anti-human-cd235-antibody-hi264,,,,,921235000,,,,CD235 Human iFluor 633 Antibody,,,,921235000,,,LN9211265
,Y,,,,FC,,,,,,HI264,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,159,CD235 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235010 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350100,,CD235 ,12352203,,,,,,9212350100,,,,CD235 Human mFluor Violet 500 Antibody,,,,9212350100,,,LN9211308
,Y,,,,FC,,,,,,HI264,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235010 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350101,,CD235 ,12352203,,,,,,9212350101,,,,CD235 Human mFluor Violet 500 Antibody,,,,9212350101,,,LN9211309
,Y,,,,FC,,,,,,HI264,,mFluor Violet 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human mFluor Violet 510 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235011 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350110,,CD235 ,12352203,,,,,,9212350110,,,,CD235 Human mFluor Violet 510 Antibody,,,,9212350110,,,LN9211310
,Y,,,,FC,,,,,,HI264,,mFluor Violet 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human mFluor Violet 510 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235011 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350111,,CD235 ,12352203,,,,,,9212350111,,,,CD235 Human mFluor Violet 510 Antibody,,,,9212350111,,,LN9211311
,Y,,,,FC,,,,,,HI264,,mFluor Violet 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human mFluor Violet 540 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235012 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350120,,CD235 ,12352203,,,,,,9212350120,,,,CD235 Human mFluor Violet 540 Antibody,,,,9212350120,,,LN9211312
,Y,,,,FC,,,,,,HI264,,mFluor Violet 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human mFluor Violet 540 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235012 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350121,,CD235 ,12352203,,,,,,9212350121,,,,CD235 Human mFluor Violet 540 Antibody,,,,9212350121,,,LN9211313
,Y,,,,FC,,,,,,HI45,,AF350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human AF350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024014 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240140,,CD24 ,12352203,,,,,,9210240140,,,,CD24 Human AF350 Antibody,,,,9210240140,,,LN9212373
,Y,,,,FC,,,,,,HI45,,AF350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human AF350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024014 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240141,,CD24 ,12352203,,,,,,9210240141,,,,CD24 Human AF350 Antibody,,,,9210240141,,,LN9212374
,Y,,,,FC,,,,,,HI45,,AF488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human AF488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024015 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240150,,CD24 ,12352203,,,,,,9210240150,,,,CD24 Human AF488 Antibody,,,,9210240150,,,LN9212375
,Y,,,,FC,,,,,,HI45,,AF488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human AF488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024015 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240151,,CD24 ,12352203,,,,,,9210240151,,,,CD24 Human AF488 Antibody,,,,9210240151,,,LN9212376
,Y,,,,FC,,,,,,HI45,,AF555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human AF555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024016 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240160,,CD24 ,12352203,,,,,,9210240160,,,,CD24 Human AF555 Antibody,,,,9210240160,,,LN9212377
,Y,,,,FC,,,,,,HI45,,AF555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human AF555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024016 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240161,,CD24 ,12352203,,,,,,9210240161,,,,CD24 Human AF555 Antibody,,,,9210240161,,,LN9212378
,Y,,,,FC,,,,,,HI45,,AF594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human AF594 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024017 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240170,,CD24 ,12352203,,,,,,9210240170,,,,CD24 Human AF594 Antibody,,,,9210240170,,,LN9212379
,Y,,,,FC,,,,,,HI45,,AF594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human AF594 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024017 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240171,,CD24 ,12352203,,,,,,9210240171,,,,CD24 Human AF594 Antibody,,,,9210240171,,,LN9212380
,Y,,,,FC,,,,,,HI45,,AF647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human AF647 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024018 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240180,,CD24 ,12352203,,,,,,9210240180,,,,CD24 Human AF647 Antibody,,,,9210240180,,,LN9212381
,Y,,,,FC,,,,,,HI45,,AF647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human AF647 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024018 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240181,,CD24 ,12352203,,,,,,9210240181,,,,CD24 Human AF647 Antibody,,,,9210240181,,,LN9212382
,Y,,,,FC,,,,,,HI45,,AF680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human AF680 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024019 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240190,,CD24 ,12352203,,,,,,9210240190,,,,CD24 Human AF680 Antibody,,,,9210240190,,,LN9212383
,Y,,,,FC,,,,,,HI45,,AF680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human AF680 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024019 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240191,,CD24 ,12352203,,,,,,9210240191,,,,CD24 Human AF680 Antibody,,,,9210240191,,,LN9212384
,Y,,,,FC,,,,,,HI45,,APC/AF750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,CD24 Human APC/AF750 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,25 tests,,,92102401E ,2-8°C with minimized light exposure.,,AAT Bioquest,102401,,CD24 ,12352203,https://www.aatbio.com/products/apc-af750-anti-human-cd24-antibody-hi45,,,,,92102401,,,,CD24 Human APC/AF750 Antibody,,,,92102401,,,LN9212392
,Y,,,,FC,,,,,,HI45,,APC/AF750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,195,CD24 Human APC/AF750 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92102401E ,2-8°C with minimized light exposure.,,AAT Bioquest,1024010,,CD24 ,12352203,https://www.aatbio.com/products/apc-af750-anti-human-cd24-antibody-hi45,,,,,921024010,,,,CD24 Human APC/AF750 Antibody,,,,921024010,,,LN9212393
,Y,,,,FC,,,,,,HI45,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024010 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240100,,CD24 ,12352203,,,,,,9210240100,,,,CD24 Human mFluor Violet 500 Antibody,,,,9210240100,,,LN9212476
,Y,,,,FC,,,,,,HI45,,iFluor 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024001 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240010,,CD24 ,12352203,,,,,,9210240010,,,,CD24 Human iFluor 350 Antibody,,,,9210240010,,,LN9212406
,Y,,,,FC,,,,,,HI45,,iFluor 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024001 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240011,,CD24 ,12352203,,,,,,9210240011,,,,CD24 Human iFluor 350 Antibody,,,,9210240011,,,LN9212407
,Y,,,,FC,,,,,,HI45,,iFluor 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 405 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024002 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240020,,CD24 ,12352203,,,,,,9210240020,,,,CD24 Human iFluor 405 Antibody,,,,9210240020,,,LN9212408
,Y,,,,FC,,,,,,HI45,,iFluor 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 405 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024002 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240021,,CD24 ,12352203,,,,,,9210240021,,,,CD24 Human iFluor 405 Antibody,,,,9210240021,,,LN9212409
,Y,,,,FC,,,,,,HI45,,iFluor 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 430 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024003 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240030,,CD24 ,12352203,,,,,,9210240030,,,,CD24 Human iFluor 430 Antibody,,,,9210240030,,,LN9212410
,Y,,,,FC,,,,,,HI45,,iFluor 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 430 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024003 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240031,,CD24 ,12352203,,,,,,9210240031,,,,CD24 Human iFluor 430 Antibody,,,,9210240031,,,LN9212411
,Y,,,,FC,,,,,,HI45,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024004 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240040,,CD24 ,12352203,,,,,,9210240040,,,,CD24 Human iFluor 450 Antibody,,,,9210240040,,,LN9212412
,Y,,,,FC,,,,,,HI45,,iFluor 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 450 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024004 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240041,,CD24 ,12352203,,,,,,9210240041,,,,CD24 Human iFluor 450 Antibody,,,,9210240041,,,LN9212413
,Y,,,,FC,,,,,,HI45,,iFluor 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024005 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240050,,CD24 ,12352203,,,,,,9210240050,,,,CD24 Human iFluor 488 Antibody,,,,9210240050,,,LN9212414
,Y,,,,FC,,,,,,HI45,,iFluor 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024005 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240051,,CD24 ,12352203,,,,,,9210240051,,,,CD24 Human iFluor 488 Antibody,,,,9210240051,,,LN9212415
,Y,,,,FC,,,,,,HI45,,iFluor 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 514 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024006 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240060,,CD24 ,12352203,,,,,,9210240060,,,,CD24 Human iFluor 514 Antibody,,,,9210240060,,,LN9212416
,Y,,,,FC,,,,,,HI45,,iFluor 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 514 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024006 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240061,,CD24 ,12352203,,,,,,9210240061,,,,CD24 Human iFluor 514 Antibody,,,,9210240061,,,LN9212417
,Y,,,,FC,,,,,,HI45,,iFluor 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 532 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024007 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240070,,CD24 ,12352203,,,,,,9210240070,,,,CD24 Human iFluor 532 Antibody,,,,9210240070,,,LN9212418
,Y,,,,FC,,,,,,HI45,,iFluor 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 532 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024007 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240071,,CD24 ,12352203,,,,,,9210240071,,,,CD24 Human iFluor 532 Antibody,,,,9210240071,,,LN9212419
,Y,,,,FC,,,,,,HI45,,iFluor 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 546 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024008 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240080,,CD24 ,12352203,,,,,,9210240080,,,,CD24 Human iFluor 546 Antibody,,,,9210240080,,,LN9212420
,Y,,,,FC,,,,,,HI45,,iFluor 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 546 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024008 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240081,,CD24 ,12352203,,,,,,9210240081,,,,CD24 Human iFluor 546 Antibody,,,,9210240081,,,LN9212421
,Y,,,,FC,,,,,,HI45,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024009 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240090,,CD24 ,12352203,,,,,,9210240090,,,,CD24 Human iFluor 555 Antibody,,,,9210240090,,,LN9212422
,Y,,,,FC,,,,,,HI45,,iFluor 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human iFluor 555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024009 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240091,,CD24 ,12352203,,,,,,9210240091,,,,CD24 Human iFluor 555 Antibody,,,,9210240091,,,LN9212423
,Y,,,,FC,,,,,,HI45,,iFluor 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,159,CD24 Human iFluor 633 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,92102400E ,2-8°C with minimized light exposure.,,AAT Bioquest,102400,,CD24 ,12352203,https://www.aatbio.com/products/ifluor-633-anti-human-cd24-antibody-hi45,,,,,92102400,,,,CD24 Human iFluor 633 Antibody,,,,92102400,,,LN9212432
,Y,,,,FC,,,,,,HI45,,iFluor 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,CD24 Human iFluor 633 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,92102400E ,2-8°C with minimized light exposure.,,AAT Bioquest,1024000,,CD24 ,12352203,https://www.aatbio.com/products/ifluor-633-anti-human-cd24-antibody-hi45,,,,,921024000,,,,CD24 Human iFluor 633 Antibody,,,,921024000,,,LN9212433
,Y,,,,FC,,,,,,HI45,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,310,CD24 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024010 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240100,,CD24 ,12352203,,,,,,9210240100,,,,CD24 Human mFluor Violet 500 Antibody,,,,9210240100,,,LN9212476
,Y,,,,FC,,,,,,HI45,,mFluor Violet 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human mFluor Violet 500 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024010 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240101,,CD24 ,12352203,,,,,,9210240101,,,,CD24 Human mFluor Violet 500 Antibody,,,,9210240101,,,LN9212477
,Y,,,,FC,,,,,,HI45,,mFluor Violet 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human mFluor Violet 510 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024011 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240110,,CD24 ,12352203,,,,,,9210240110,,,,CD24 Human mFluor Violet 510 Antibody,,,,9210240110,,,LN9212478
,Y,,,,FC,,,,,,HI45,,mFluor Violet 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human mFluor Violet 510 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024011 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240111,,CD24 ,12352203,,,,,,9210240111,,,,CD24 Human mFluor Violet 510 Antibody,,,,9210240111,,,LN9212479
,Y,,,,FC,,,,,,HI45,,mFluor Violet 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD24 Human mFluor Violet 540 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921024012 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240120,,CD24 ,12352203,,,,,,9210240120,,,,CD24 Human mFluor Violet 540 Antibody,,,,9210240120,,,LN9212480
,Y,,,,FC,,,,,,HI45,,mFluor Violet 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD24 Human mFluor Violet 540 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921024012 ,2-8°C with minimized light exposure.,,AAT Bioquest,10240121,,CD24 ,12352203,,,,,,9210240121,,,,CD24 Human mFluor Violet 540 Antibody,,,,9210240121,,,LN9212481
,Y,,,,FC,,,,,,HI25a,,AF350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD25 Human AF350 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921025014 ,2-8°C with minimized light exposure.,,AAT Bioquest,10250140,,CD25 ,12352203,,,,,,9210250140,,,,CD25 Human AF350 Antibody,,,,9210250140,,,LN9211059
